cust,ma_fem_dv,ages,zon_hlv
M000034966,여성,40대,Z07
M000059535,여성,30대,Z12
M000136117,여성,30대,Z11
M000201112,여성,50대,Z17
M000225114,여성,40대,Z17
M000261625,여성,40대,Z17
M000350564,여성,60대,Z10
M000419293,여성,40대,Z17
M000494848,여성,30대,Z10
M000504230,여성,30대,Z05
M000508243,여성,50대,Z17
M000555652,남성,50대,Z10
M000557840,남성,30대,Z11
M000608261,남성,30대,Z17
M000621637,여성,40대,Z11
M000658311,여성,20대,Z16
M000705571,여성,40대,Z17
M000713279,여성,50대,Z12
M000803099,여성,50대,Z03
M000859319,남성,70대,Z17
M000871427,여성,20대,Z10
M000965026,남성,40대,Z17
M000986912,여성,30대,Z10
M001080017,여성,30대,Z17
M001086020,남성,50대,Z17
M001225335,여성,40대,Z17
M001231653,여성,60대,Z17
M001248380,여성,30대,Z10
M001332751,여성,30대,Z06
M001353506,여성,40대,Z14
M001403108,남성,20대,Z10
M001405587,남성,30대,Z10
M001437402,남성,50대,Z06
M001444118,남성,30대,Z17
M001464035,여성,30대,Z01
M001521411,여성,40대,Z04
M001626218,남성,40대,Z10
M001639664,여성,40대,Z09
M001640580,남성,30대,Z09
M001676416,여성,30대,Z15
M001694463,남성,40대,Z14
M001697471,남성,40대,Z17
M001697472,남성,50대,Z16
M001698984,여성,50대,Z10
M001714196,여성,40대,Z17
M001719436,여성,40대,Z10
M001729158,여성,40대,Z03
M001796054,여성,50대,Z08
M001808316,남성,30대,Z17
M001826589,여성,40대,Z09
M001871581,남성,50대,Z17
M001932188,여성,30대,Z04
M001964634,남성,40대,Z12
M001996055,여성,60대,Z11
M002009440,여성,30대,Z16
M002102710,여성,30대,Z12
M002122238,여성,20대,Z07
M002181288,남성,60대,Z11
M002186187,남성,40대,Z04
M002188008,남성,20대,Z17
M002238144,여성,20대,Z16
M002352655,남성,20대,Z17
M002476170,남성,50대,Z17
M002516882,여성,30대,Z17
M002631028,남성,40대,Z11
M002644538,여성,40대,Z17
M002712183,남성,30대,Z10
M002867247,여성,40대,Z10
M002867841,남성,40대,Z16
M002900547,남성,40대,Z10
M002944916,남성,50대,Z10
M002968688,남성,40대,Z17
M003005564,여성,20대,Z17
M003178578,남성,60대,Z17
M003213142,여성,60대,Z14
M003230318,여성,30대,Z10
M003281441,여성,40대,Z10
M003342315,남성,50대,Z17
M003411495,여성,50대,Z16
M003423693,남성,30대,Z04
M003427143,남성,40대,Z10
M003468477,여성,30대,Z17
M003490042,여성,20대,Z10
M003512783,여성,60대,Z05
M003528940,남성,50대,Z17
M003531710,여성,30대,Z17
M003563148,여성,40대,Z09
M003574741,남성,40대,Z17
M003596896,여성,20대,Z10
M003641896,여성,50대,Z10
M003673750,남성,50대,Z13
M003729845,여성,20대,Z13
M003765725,여성,40대,Z10
M003803545,여성,40대,Z16
M003827618,남성,40대,Z13
M003834772,여성,40대,Z17
M003842970,여성,30대,Z08
M003847817,여성,30대,Z10
M003872277,남성,50대,Z16
M003918629,여성,40대,Z10
M003948947,여성,30대,Z17
M003972434,여성,30대,Z10
M003978013,여성,40대,Z10
M004056262,여성,30대,Z10
M004292419,남성,50대,Z17
M004312179,여성,40대,Z17
M004338856,여성,50대,Z17
M004368674,여성,40대,Z10
M004382321,여성,20대,Z10
M004430311,남성,40대,Z17
M004434460,남성,30대,Z10
M004452072,여성,30대,Z06
M004494018,남성,30대,Z10
M004540352,여성,20대,Z10
M004587507,여성,30대,Z16
M004593982,여성,20대,Z16
M004595449,여성,40대,Z17
M004599697,남성,40대,Z15
M004601295,여성,50대,Z15
M004610895,남성,40대,Z17
M004701344,여성,20대,Z10
M004725109,여성,40대,Z17
M004743281,여성,40대,Z05
M004831050,남성,40대,Z12
M004839058,남성,40대,Z13
M004843031,여성,20대,Z17
M004843133,남성,30대,Z10
M004880812,남성,30대,Z10
M004916501,여성,40대,Z08
M004932643,여성,30대,Z16
M004998385,남성,30대,Z10
M005071497,여성,30대,Z10
M005113779,남성,50대,Z10
M005113806,여성,50대,Z17
M005190060,여성,30대,Z09
M005209297,여성,50대,Z17
M005233669,여성,20대,Z05
M005297673,여성,40대,Z10
M005317556,남성,30대,Z17
M005360407,여성,40대,Z10
M005392126,남성,40대,Z17
M005448564,여성,30대,Z04
M005462100,여성,60대,Z14
M005468429,남성,40대,Z17
M005484498,여성,60대,Z11
M005515605,남성,40대,Z10
M005539469,남성,40대,Z17
M005565524,남성,40대,Z08
M005646515,남성,40대,Z11
M005665716,남성,40대,Z16
M005701809,여성,40대,Z10
M005714647,남성,30대,Z11
M005731374,남성,20대,Z05
M005756325,여성,60대,Z10
M005802062,여성,20대,Z12
M005930833,여성,50대,Z16
M005931829,여성,30대,Z10
M005951417,여성,30대,Z10
M005978086,남성,40대,Z17
M006026730,여성,20대,Z17
M006051160,여성,40대,Z14
M006060731,여성,60대,Z07
M006101185,여성,30대,Z16
M006103201,여성,50대,Z13
M006114154,남성,40대,Z10
M006155904,여성,50대,Z10
M006156170,남성,50대,Z05
M006178896,여성,40대,Z11
M006189359,여성,30대,Z11
M006201429,여성,40대,Z10
M006216667,여성,50대,Z06
M006260135,여성,60대,Z01
M006272431,남성,50대,Z11
M006276409,여성,30대,Z17
M006333495,여성,60대,Z11
M006338386,여성,40대,Z10
M006358338,남성,20대,Z04
M006407679,여성,50대,Z17
M006422356,여성,40대,Z13
M006429452,여성,40대,Z10
M006453588,남성,30대,Z13
M006466671,여성,50대,Z08
M006627098,여성,30대,Z17
M006658403,여성,30대,Z16
M006679751,여성,20대,Z04
M006703537,여성,40대,Z17
M006704643,여성,30대,Z16
M006712731,남성,40대,Z17
M006725113,여성,60대,Z16
M006727302,여성,60대,Z10
M006728866,남성,40대,Z10
M006775596,여성,30대,Z17
M006826436,여성,40대,Z16
M006865239,여성,20대,Z06
M006902585,여성,40대,Z10
M006904172,여성,20대,Z16
M006947340,여성,60대,Z16
M006962764,남성,30대,Z17
M006976766,여성,50대,Z09
M006985653,남성,20대,Z10
M006994878,남성,50대,Z13
M006997862,여성,30대,Z17
M007005601,남성,30대,Z10
M007196501,여성,40대,Z13
M007207067,남성,50대,Z12
M007229712,여성,30대,Z10
M007319872,여성,50대,Z12
M007349628,남성,50대,Z10
M007354680,여성,50대,Z17
M007463920,남성,40대,Z08
M007486580,여성,20대,Z16
M007486863,여성,40대,Z17
M007490836,남성,30대,Z10
M007523105,여성,60대,Z10
M007569854,여성,40대,Z09
M007710522,여성,30대,Z10
M007711011,여성,60대,Z11
M007745030,여성,30대,Z10
M007808106,남성,30대,Z08
M007808151,남성,30대,Z10
M007909147,여성,40대,Z17
M007979353,남성,40대,Z10
M008076951,남성,40대,Z10
M008123058,남성,50대,Z09
M008146645,여성,40대,Z16
M008229734,남성,50대,Z14
M008254198,여성,60대,Z10
M008269534,여성,40대,Z13
M008280181,여성,40대,Z10
M008395377,여성,20대,Z10
M008396737,여성,40대,Z12
M008398484,여성,20대,Z11
M008453799,남성,50대,Z14
M008454401,여성,30대,Z10
M008527766,남성,30대,Z17
M008539255,여성,50대,Z05
M008574645,여성,50대,Z05
M008579659,남성,30대,Z17
M008598245,여성,50대,Z17
M008722896,남성,30대,Z10
M008787005,남성,40대,Z13
M008809647,남성,40대,Z10
M008858450,여성,30대,Z10
M008864908,남성,30대,Z04
M008923069,여성,50대,Z10
M008935564,여성,20대,Z04
M008960015,남성,50대,Z01
M008960183,남성,30대,Z14
M008962563,여성,50대,Z17
M008998759,남성,40대,Z10
M009032626,남성,20대,Z16
M009037939,여성,40대,Z11
M009092385,여성,70대,Z11
M009092500,여성,40대,Z09
M009102336,여성,40대,Z10
